'timestamp' 	 'F1Value' 	 'F2Value' 
'numInterv' 	 1000 
0.005 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 
0.025 	 --undefined-- 	 --undefined-- 
6.225 	 1703.5 	 2682.1 
6.235 	 1684.5 	 2744.7 
6.245 	 1570.5 	 2760.6 
6.255 	 1501.1 	 2797.0 
6.265 	 1512.5 	 2511.6 
6.275 	 1310.9 	 2210.8 
6.285 	 909.1 	 2281.0 
6.295 	 1300.3 	 2659.4 
6.305 	 1214.2 	 2541.3 
6.315 	 664.4 	 2184.5 
6.325 	 966.0 	 2185.6 
6.335 	 821.6 	 1925.0 
6.345 	 453.9 	 1841.3 
6.355 	 1090.6 	 2288.4 
6.365 	 1816.6 	 2554.1 
6.375 	 1706.8 	 2341.5 
6.385 	 1137.6 	 2092.8 
6.395 	 596.6 	 1890.7 
6.405 	 487.0 	 1812.9 
6.415 	 464.1 	 1730.4 
6.425 	 476.0 	 1663.3 
6.435 	 797.3 	 1825.9 
6.445 	 795.1 	 1853.6 
6.455 	 760.5 	 1728.0 
6.465 	 943.6 	 1741.6 
6.475 	 826.0 	 1698.3 
6.485 	 496.8 	 1673.2 
6.495 	 319.5 	 1709.4 
6.505 	 505.1 	 1711.7 
6.515 	 673.2 	 1713.5 
6.525 	 929.1 	 1748.5 
6.535 	 809.2 	 1818.6 
6.545 	 664.1 	 1984.4 
6.555 	 580.4 	 2191.0 
6.565 	 302.1 	 2114.5 
6.575 	 969.7 	 2234.9 
6.585 	 1769.2 	 2722.6 
6.595 	 1505.1 	 2450.9 
6.605 	 1373.8 	 2286.4 
6.615 	 1298.8 	 2032.7 
6.625 	 696.6 	 1492.0 
6.635 	 563.6 	 1403.7 
6.645 	 765.3 	 1401.9 
6.655 	 780.9 	 1500.4 
6.665 	 758.0 	 1459.8 
6.675 	 737.5 	 1435.4 
6.685 	 729.1 	 1472.4 
6.695 	 718.5 	 1502.8 
6.705 	 705.5 	 1508.2 
6.715 	 690.9 	 1494.2 
6.725 	 681.4 	 1462.6 
6.735 	 665.6 	 1408.1 
6.745 	 631.5 	 1346.5 
6.755 	 545.7 	 1367.8 
6.765 	 891.4 	 2012.2 
6.775 	 1277.9 	 2266.7 
6.785 	 1195.3 	 2102.1 
6.795 	 706.4 	 1810.6 
6.805 	 310.8 	 1329.0 
6.815 	 314.9 	 1340.7 
6.825 	 477.2 	 1481.9 
6.835 	 856.1 	 1572.7 
6.845 	 1003.3 	 1589.2 
6.855 	 1136.0 	 1892.5 
6.865 	 1347.0 	 2214.0 
6.875 	 1275.8 	 2292.0 
6.885 	 867.7 	 1860.9 
6.895 	 580.9 	 1421.2 
6.905 	 603.4 	 1431.7 
6.915 	 624.9 	 1413.6 
6.925 	 650.8 	 1369.2 
6.935 	 697.0 	 1329.4 
6.945 	 742.0 	 1303.5 
6.955 	 762.7 	 1275.9 
6.965 	 758.9 	 1241.4 
6.975 	 777.4 	 1150.8 
6.985 	 994.2 	 1773.5 
6.995 	 1171.2 	 2478.5 
7.005 	 1163.9 	 2461.2 
7.015 	 1166.3 	 2245.4 
7.025 	 1153.7 	 2096.4 
7.035 	 1190.0 	 2360.0 
7.045 	 1196.2 	 2514.6 
7.055 	 1148.9 	 2143.9 
7.065 	 1149.9 	 1987.7 
7.075 	 916.0 	 1649.3 
7.085 	 731.9 	 1219.5 
7.095 	 805.6 	 1326.2 
7.105 	 820.3 	 1408.6 
7.115 	 812.9 	 1450.9 
7.125 	 796.7 	 1476.5 
7.135 	 772.6 	 1508.8 
7.145 	 744.6 	 1546.0 
7.155 	 701.6 	 1555.3 
7.165 	 634.0 	 1514.8 
7.175 	 586.0 	 1457.9 
7.185 	 528.8 	 1433.5 
7.195 	 489.0 	 1426.3 
7.205 	 535.1 	 1424.1 
7.215 	 597.3 	 1430.3 
7.225 	 633.9 	 1407.7 
7.235 	 411.3 	 1333.5 
7.245 	 704.6 	 1869.4 
7.255 	 1228.0 	 2433.3 
7.265 	 711.9 	 1817.1 
7.275 	 673.7 	 1852.5 
7.285 	 956.9 	 1835.6 
7.295 	 769.5 	 1276.8 
7.305 	 779.7 	 1396.5 
7.315 	 784.0 	 1452.6 
7.325 	 771.8 	 1502.1 
7.335 	 743.0 	 1563.5 
7.345 	 706.5 	 1617.3 
7.355 	 665.8 	 1658.6 
7.365 	 586.8 	 1664.9 
7.375 	 549.4 	 1616.6 
7.385 	 571.5 	 1713.2 
7.395 	 551.8 	 1872.0 
7.405 	 528.5 	 1949.6 
7.415 	 521.9 	 2063.7 
7.425 	 488.7 	 2148.1 
7.435 	 466.6 	 2142.1 
7.445 	 549.7 	 2111.4 
7.455 	 631.7 	 2034.8 
7.465 	 615.0 	 1971.0 
7.475 	 561.3 	 2176.1 
7.485 	 1029.9 	 2798.8 
7.495 	 1064.2 	 2709.3 
